model,Year,Hand,Gear,Engine_capacity,Engine_type,Prev_ownership,Curr_ownership,Area,city,Price,Cre_date,Pic_num,Repub_date,Description,Color,Km,Test
סוזוקי סוויפט,2008,4,אוטומטית,1500,בנזין,פרטית,פרטית,אשדוד,אשקלון,14800.0,2024-05-16,2,2024-05-16,רכב חסכוני ושמור מאוד הכל עובד חזק ברכב  גמיש ליד הרכב ,שחור,220000,95
סוזוקי SX4,2016,1,אוטומטית,1600,בנזין,פרטית,פרטית,רמת,בני,71.0,2024-03-16,5,2024-03-16,סוזוקי ויטרה ארבע על ארבע יד ראשונה 00  נקנה חדש מהחברה  שנת 2016 עם כל התוספות המלאות מגיני רוח מולטימדיה ריפודמ עור מובילאיי נקנה 160.000 מוכרים ב71.000 כמעט ולא נעשה בו שימוש כחדש 68 km 0504300438 לא בשבת,בז',68,
סוזוקי סוויפט,2008,3,אוטומטית,1500,בנזין,פרטית,פרטית,קריות,קרית,19500.0,2024-02-26,8,2024-02-26,רכב שמור ואמין במיוחד! מטופל בזמן תכתוב ב what's up,אפור,178000,
סוזוקי סלריו,2018,2,אוטומטית,1000,בנזין,פרטית,פרטית,רמלה,לוד,34900.0,2023-12-28,5,2023-12-11,"רכב קומפקטי וחיסכוני! כ-20 ק״מ לליטר. 2018, רכב שמור. לאחר טיפול מקיף, 3 גלגלים חדשים, מזגן מעולה. חלונות חשמליים, מערכת עם בלוטות׳. טסט כחצי שנה. נא ליצור קשר בווטסאפ.",אפור,97000,
סוזוקי SX4 קרוסאובר,2018,2,אוטומטית,1400,בנזין,פרטית,פרטית,קריות,קרית,57000.0,2023-12-17,7,2023-12-17,אוטו אמיין ומוטפל במוסך מורשה בלבד ויש הוסטרית טיפולים בסוזוקי חיפה מחיר יצחק לוי 65000 מכור ב57000 שקל כי משתדרג לרכב חשמלי אוטו במצב מעולה שומר סיבת מכירה מעבר לאוטו חשמלי ויש לי להשלים סכום של כסף לאוטו החדש  ,לבן,144548,125
סוזוקי איגניס,2019,1,אוטומטית,1200,בנזין,פרטית,פרטית,חיפה,חיפה,65000.0,2023-11-19,2,2023-11-19,רכב במצב נהדר. נהגת יחידה. לראות ולהשתכנע.,אדום,16500,156
סוזוקי SX4 קרוסאובר,2016,2,אוטומטית,1600,בנזין,ליסינג,פרטית,רמת,רמת,58000.0,2023-09-28,2,2023-09-28,מצב מעולה,שחור,77000,
סוזוקי סוויפט,2007,4,אוטומטית,1500,בנזין,פרטית,פרטית,באר,קרית,16000.0,2023-09-22,3,2023-09-21,"סוזוקי סוויפט 2007. 204,000 ק״מ. במצב מעולה, שמור ומטופל. נהגת יחידנית. כל הקודם זוכה",אפור,204000,
סוזוקי SX4 קרוסאובר,2014,3,אוטומטית,1800,בנזין,פרטית,פרטית,ירושלים,ירושלים,40500.0,2023-09-07,6,2023-08-24,"מטופלת במורשה, יפה, חסכונית בדלק. אמינה. שמורה. דגם מפואר- מראות מתקפלות , הנעה ללא מפתח, מצלמת רוורס ועוד. גיר חדש מהחברה השנה, במסגרת ריקול דגם. גמישות קלה. [בעלות אחת-חודשים ספורים]",שחור,138450,
סוזוקי סוויפט,2009,1,אוטומטית,1500,בנזין,פרטית,פרטית,תל,תל,27500.0,2023-08-17,4,2023-08-17,"מפרטי יד ראשונה סוויפט מנוע GLX 1490 יד ראשונה  סמ""ק 150.900 קמ שנה 2009 גיר אוטומטי יצור והרכבה יפן צבע שחור נעילה חשמלית קידוד 6 כ""א + ABS טסט 5/2024 פגעי צבע מקובלים ומכה בדלת הבגאג' המכונית מטופלת במוסך המרכזי תל אביב 27500 שח לא לסוחרים ומגרשים נא לא להתקשר בשבת שיחה לא תענה מיקום תל אביב",שחור,151000,
סוזוקי איגניס,2021,1,אוטומטית,1200,היבריד,פרטית,פרטית,גליל,יוקנעם,82000.0,2023-06-16,3,2023-06-16,ללא תאונות.מטופל במוסך מורשה. טסט לשנה,לבן,44000,
סוזוקי SX4 קרוסאובר,2019,1,אוטומטית,1000,בנזין,פרטית,פרטית,אשדוד,אשקלון,86000.0,2023-06-16,3,2023-06-14,None,אפור,85000,
סוזוקי סוויפט,2010,6,אוטומטית,1500,בנזין,פרטית,פרטית,קיסריה,אור,18000.0,2023-06-15,1,2023-06-15,רכב שמור מצב מכני טוב,כחול,189000,
סוזוקי אלטו,2012,2,אוטומטית,1000,בנזין,פרטית,פרטית,מודיעין,מודיעין,21000.0,2023-06-06,2,2023-06-06,"סוזוקי אלטו 2012, יד 2, אוטומט 114,000 קילומטר אחרי טסט וטיפול ,4 גלגלים חדשים. מאוד שמורה  יש מובילאיי  מערכת רמקולים מותקנת  מחיר -21,000₪ לפרטים נוספים-0523631667",לבן,113000,
סוזוקי אלטו,2010,3,ידנית,1000,בנזין,פרטית,פרטית,ירושלים,ירושלים,11500.0,2023-06-04,2,2023-06-04,מצב מעולה חסכוני  הוחלף קלאץ׳ ,לבן,152000,
סוזוקי SX4,2009,4,אוטומטית,1600,בנזין,פרטית,פרטית,בית,בית,18500.0,2023-05-15,2,2023-05-14,הרכב במצב מצויין. הוא שירת אותנו בנאמנה במשך קרוב ל-6 שנים. אנחנו מוכרים בגלל קבלת רכב מהעבודה,שחור,226000,
סוזוקי ליאנה,2008,4,אוטומטית,1600,בנזין,פרטית,פרטית,עכו,נהריה,7500.0,2023-04-19,2,2023-04-19,רכב במצב טוב הוחלף מנוע מייבוא,כסף,214000,
סוזוקי ליאנה,2008,3,אוטומטית,1600,בנזין,פרטית,פרטית,ירושלים,ירושלים,13000.0,2023-03-08,4,2023-01-04,למכירה סוזוקי ליאנה שנת 2008 יד 02 ברשיון טסט עד 7/23 מנוע 1600 רכב יפני אמין מאד מצבר חדש צמיגים עבר טיפול גדול ברקסים צלחות מוט מייצב +צינור הגה חדש תושבת מנוע מחזיר שמן בולמים קפיצים קידמי ימין ושמאל כולל טיפול 10 אלף לא בשבת בבקשה גמיש לרצינים,אפור,206000,
